DeliveryTime,SortingTime,log val,predicted val,residuals,
21,10,3.176888,23.97203638,2.972036375,8.833000216
13.5,4,2.5432,12.72031091,-0.779689093,0.607915081
19.75,6,2.7543,15.71004002,-4.039959975,16.3212766
24,9,3.07095,21.56237721,-2.437622794,5.942004884
29,10,3.1765,23.96273703,-5.037262971,25.37401824
15.35,6,2.7543,15.71004002,0.360040025,0.12962882
19,7,2.85985,17.4589079,-1.541092096,2.374964848
9.5,3,2.43765,11.44611075,1.946110752,3.78734706
17.9,10,3.1765,23.96273703,6.062737029,36.75678029
18.75,9,3.07095,21.56237721,2.812377206,7.909465551
19.83,8,2.9654,19.40246267,-0.427537325,0.182788165
10.75,4,2.5432,12.72031091,1.970310907,3.882125071
16.68,7,2.85985,17.4589079,0.778907904,0.606697523
11.5,3,2.43765,11.44611075,-0.053889248,0.002904051
12.03,3,2.43765,11.44611075,-0.583889248,0.340926654
14.88,4,2.5432,12.72031091,-2.159689093,4.664256978
13.75,6,2.7543,15.71004002,1.960040025,3.841756899
18.11,7,2.85985,17.4589079,-0.651092096,0.423920918
8,2,2.3321,10.29954789,2.299547889,5.287920494
17.83,7,2.85985,17.4589079,-0.371092096,0.137709344
21.5,5,2.64875,14.13635715,-7.36364285,54.22323602
,,,,,
,,,,-4.284350771,181.6306437
,,,,,8.649078271
,,,,,2.940931531
